,filepaths,labels
873,train\Seda_dorada\007.jpg,Golden Orb Weaver
874,train\Seda_dorada\008.jpg,Golden Orb Weaver
875,train\Seda_dorada\009.jpg,Golden Orb Weaver
876,train\Seda_dorada\010.jpg,Golden Orb Weaver
877,train\Seda_dorada\011.jpg,Golden Orb Weaver
878,train\Seda_dorada\012.jpg,Golden Orb Weaver
879,train\Seda_dorada\013.jpg,Golden Orb Weaver
880,train\Seda_dorada\014.jpg,Golden Orb Weaver
881,train\Seda_dorada\015.jpg,Golden Orb Weaver
882,train\Seda_dorada\016.jpg,Golden Orb Weaver
883,train\Seda_dorada\017.jpg,Golden Orb Weaver
884,train\Seda_dorada\018.jpg,Golden Orb Weaver
885,train\Seda_dorada\019.jpg,Golden Orb Weaver
886,train\Seda_dorada\020.jpg,Golden Orb Weaver
887,train\Seda_dorada\021.jpg,Golden Orb Weaver
888,train\Seda_dorada\022.jpg,Golden Orb Weaver
889,train\Seda_dorada\023.jpg,Golden Orb Weaver
890,train\Seda_dorada\024.jpg,Golden Orb Weaver
891,train\Seda_dorada\025.jpg,Golden Orb Weaver
892,train\Seda_dorada\026.jpg,Golden Orb Weaver
893,train\Seda_dorada\027.jpg,Golden Orb Weaver
894,train\Seda_dorada\028.jpg,Golden Orb Weaver
895,train\Seda_dorada\029.jpg,Golden Orb Weaver
896,train\Seda_dorada\030.jpg,Golden Orb Weaver
897,train\Seda_dorada\031.jpg,Golden Orb Weaver
898,train\Seda_dorada\032.jpg,Golden Orb Weaver
899,train\Seda_dorada\033.jpg,Golden Orb Weaver
900,train\Seda_dorada\034.jpg,Golden Orb Weaver
901,train\Seda_dorada\035.jpg,Golden Orb Weaver
902,train\Seda_dorada\036.jpg,Golden Orb Weaver
903,train\Seda_dorada\037.jpg,Golden Orb Weaver
904,train\Seda_dorada\038.jpg,Golden Orb Weaver
905,train\Seda_dorada\039.jpg,Golden Orb Weaver
906,train\Seda_dorada\040.jpg,Golden Orb Weaver
907,train\Seda_dorada\041.jpg,Golden Orb Weaver
908,train\Seda_dorada\042.jpg,Golden Orb Weaver
909,train\Seda_dorada\043.jpg,Golden Orb Weaver
910,train\Seda_dorada\044.jpg,Golden Orb Weaver
911,train\Seda_dorada\045.jpg,Golden Orb Weaver
912,train\Seda_dorada\046.jpg,Golden Orb Weaver
913,train\Seda_dorada\047.jpg,Golden Orb Weaver
914,train\Seda_dorada\048.jpg,Golden Orb Weaver
915,train\Seda_dorada\049.jpg,Golden Orb Weaver
916,train\Seda_dorada\050.jpg,Golden Orb Weaver
2185,test\Viuda_negra\1.jpg,Black Widow
2186,test\Viuda_negra\2.jpg,Black Widow
2187,test\Viuda_negra\3.jpg,Black Widow
2188,test\Viuda_negra\4.jpg,Black Widow
2189,test\Viuda_negra\5.jpg,Black Widow
2205,test\Violinista\1.jpg,Brown Recluse Spider
2206,test\Violinista\2.jpg,Brown Recluse Spider
2207,test\Violinista\3.jpg,Brown Recluse Spider
2208,test\Violinista\4.jpg,Brown Recluse Spider
2209,test\Violinista\5.jpg,Brown Recluse Spider
2215,test\Seda_dorada\1.jpg,Golden Orb Weaver
2216,test\Seda_dorada\2.jpg,Golden Orb Weaver
2217,test\Seda_dorada\3.jpg,Golden Orb Weaver
2218,test\Seda_dorada\4.jpg,Golden Orb Weaver
2219,test\Seda_dorada\5.jpg,Golden Orb Weaver
2260,valid\Viuda_negra\1.jpg,Black Widow
2261,valid\Viuda_negra\2.jpg,Black Widow
2262,valid\Viuda_negra\3.jpg,Black Widow
2263,valid\Viuda_negra\4.jpg,Black Widow
2264,valid\Viuda_negra\5.jpg,Black Widow
2280,valid\Violinista\1.jpg,Brown Recluse Spider
2281,valid\Violinista\2.jpg,Brown Recluse Spider
2282,valid\Violinista\3.jpg,Brown Recluse Spider
2283,valid\Violinista\4.jpg,Brown Recluse Spider
2284,valid\Violinista\5.jpg,Brown Recluse Spider
2290,valid\Seda_dorada\1.jpg,Golden Orb Weaver
2291,valid\Seda_dorada\2.jpg,Golden Orb Weaver
2292,valid\Seda_dorada\3.jpg,Golden Orb Weaver
2293,valid\Seda_dorada\4.jpg,Golden Orb Weaver
2294,valid\Seda_dorada\5.jpg,Golden Orb Weaver
